Happiness Score,Economy (GDP per Capita),Generosity
5.715000153,1.035225272,0.126819715
5.629000187,1.189395547,0.360933751
5.620999813,1.355938077,0.271254301
5.611000061,1.32087934,0.098890811
5.568999767,1.15655756,0.155137509
5.525000095,1.101803064,0.152073666
5.5,1.198274374,0.046693042
5.493000031,0.932537317,0.224150658
5.472000122,1.551674843,0.374465793
5.429999828,0.857699215,0.193513423
5.394999981,1.069317579,0.220125884
5.335999966,0.991012394,0.17217046
5.323999882,1.286011934,0.078401662
5.31099987,0.925579309,0.233818337
5.293000221,1.222556233,0.248002976
5.278999805,0.951484382,0.319931448
5.272999763,1.081165791,0.028806841
5.269000053,0.726883531,0.315446019
5.262000084,0.995538592,0.611704588
5.25,1.128431201,0.06501963
5.236999989,1.121129036,0.197911024
5.235000134,0.878114581,0.032209955
5.234000206,1.153601766,0.04526934
5.230000019,1.079373837,0.18696785
5.227000237,1.289487481,0
5.224999905,1.074987531,0.264450759
5.195000172,1.315175295,0.095102713
5.18200016,0.982409418,0.328867495
5.181000233,0.730573118,0.236188874
5.175000191,1.064577937,0.253760964
5.151000023,0.022643184,0.291631311
5.073999882,0.788547575,0.234968051
5.073999882,0.783756256,0.230947196
5.040999889,0.524713635,0.248997644
5.011000156,0.885416389,0.474054545
5.004000187,0.596220076,0.428580374
4.961999893,0.479820192,0.394096166
4.954999924,1.027235866,0.33846423
4.828999996,1.054698706,0.13936238
4.804999828,1.007265806,0.049693357
4.775000095,0.716249228,0.114173174
4.735000134,0.989701807,0.128631443
4.714000225,1.161459088,0.113177694
4.709000111,0.368420929,0.293040901
4.695000172,0.564305365,0.236298457
4.691999912,1.156873107,0.387242913
4.644000053,0.996192753,0.201312944
4.607999802,0.586682975,0.172255352
4.573999882,0.964434326,0.077133745
4.552999973,0.560479462,0.444860309
4.550000191,0.23430565,0.322228104
4.545000076,0.36711055,0.838075161
4.534999847,0.479309022,0.183468893
4.513999939,0.636406779,0.249580145
4.497000217,1.102710485,0.199637264
4.465000153,1.198210239,0.043785378
4.460000038,0.339233845,0.31265074
4.440000057,1.009850144,0.490863562
4.375999928,0.900596738,0.083488092
4.315000057,0.792221248,0.231538489
4.291999817,0.648457289,0.201870024
4.290999889,0.808964252,0.120852128
4.285999775,0.950612664,0.054008815
4.28000021,0.092102349,0.246455833
4.190000057,0.476180494,0.183354199
4.179999828,0.603048921,0.20123747
4.168000221,0.601765096,0.385922968
4.138999939,0.659516692,0.182317451
4.119999886,0.667224824,0.256923944
4.096000195,0.894651949,0.270061463
4.080999851,0.381430715,0.325766057
4.032000065,0.350227714,0.250864685
4.027999878,0.161925331,0.228673846
3.970000029,0.233442038,0.28717047
3.936000109,0.438012987,0.21611385
3.875,0.375846535,0.189143494
3.808000088,0.521021247,0.157497272
3.795000076,0.85842818,0.09792649
3.79399991,0.401477218,0.311870933
3.766000032,1.122094154,0.099348448
3.657000065,0.431085408,0.207948461
3.644000053,0.305808693,0.20873253
3.602999926,0.368610263,0.489203781
3.592999935,0.591683447,0.104125209
3.59100008,0.397248626,0.285670817
3.532999992,0.119041793,0.266549885
3.506999969,0.24454993,0.264815092
3.494999886,0.305444717,0.196896151
3.470999956,0.368745893,0.252756029
3.461999893,0.777153134,0.493663728
3.348999977,0.511135876,0.354256362
2.904999971,0.091622569,0.204435185
2.693000078,0,0.280876487
7.632,1.305,0.202
7.594,1.456,0.286
7.555,1.351,0.284
7.495,1.343,0.353
7.487,1.42,0.256
7.441,1.361,0.333
7.328,1.33,0.321
7.324,1.268,0.365
7.314,1.355,0.285
7.272,1.34,0.361
7.19,1.244,0.262
7.139,1.341,0.242
7.072,1.01,0.143
6.977,1.448,0.307
6.965,1.34,0.273
6.927,1.324,0.188
6.91,1.576,0.196
6.886,1.398,0.291
6.814,1.301,0.354
6.774,2.096,0.186
6.711,1.233,0.064
6.627,1.27,0.376
6.489,1.293,0.098
6.488,1.038,0.069
6.476,1.131,0.197
6.441,1.365,0.151
6.43,1.112,0.125
6.419,0.986,0.11
6.388,1.073,0.062
6.382,0.781,0.179
6.379,1.093,0.13
6.374,1.649,0.256
6.371,1.379,0.098
6.343,1.529,0.261
6.322,1.161,0.311
6.31,1.251,0.142
6.26,0.96,0.099
6.192,1.223,0.171
6.173,1.21,0.118
6.167,0.806,0.065
6.141,0.668,0.208
6.123,1.176,0.108
6.105,1.338,0.243
6.096,0.719,0.328
6.083,1.474,0.167
6.072,1.016,0.364
6,1.264,0.137
5.973,0.889,0.114
5.956,0.807,0.183
5.952,1.197,0.026
5.948,1.219,0.16
5.945,1.116,0.088
5.933,1.148,0.092
5.915,1.294,0.079
5.891,1.09,0.245
5.89,0.819,0.096
5.875,1.266,0.175
5.835,1.229,0.179
5.81,1.151,0.065
5.79,1.143,0.148
5.762,1.229,0.202
5.752,0.751,0.141
5.739,1.2,0.086
5.681,0.835,0.162
5.663,0.934,0.092
5.662,0.855,0.274
5.64,0.657,0.171
5.636,1.016,0.199
5.62,1.171,0.061
5.566,0.985,0.116
5.524,0.775,0.12
5.504,0.62,0.197
5.483,1.039,0.101
5.483,1.148,0.106
5.472,0.652,0.216
5.43,1.405,0.246
5.41,1.188,0.055
5.398,0.975,0.134
5.358,1.154,0
5.358,0.965,0.214
5.347,1.017,0.111
5.321,1.115,0.12
5.302,0.982,0.12
5.295,0.979,0.055
5.254,0.779,0.026
5.246,0.989,0.029
5.201,1.024,0.031
5.199,0.474,0.187
5.185,0.959,0.173
5.161,0.822,0.13
5.155,0.689,0.201
5.131,0.53,0.281
5.129,0.915,0.216
5.125,0.914,0.253
5.103,0.715,0.177
5.093,0.899,0.484
5.082,0.796,0.364
4.982,0,0.238
4.975,0.535,0.183
4.933,1.054,0.064
4.88,0.425,0.302
4.806,0.996,0.056
4.758,1.036,0.032
4.743,0.642,0.086
4.724,0.94,0.103
4.707,1.059,0.282
4.671,0.541,0.146
4.657,0.592,0.212
4.631,0.429,0.138
4.623,0.72,0.23
4.592,0.9,0.04
4.586,0.916,0.149
4.571,0.256,0.238
4.559,0.682,0.091
4.5,0.532,0.153
4.471,0.918,0.307
4.456,1.01,0.148
4.447,0.37,0.139
4.441,0.874,0.051
4.433,0.549,0.256
4.424,0.314,0.175
4.419,0.885,0.092
4.417,0.198,0.206
4.41,0.493,0.352
4.377,0.562,0.221
4.356,0.557,0.134
4.35,0.308,0.22
4.34,0.853,0.038
4.321,0.816,0.077
4.308,0.682,0.598
4.301,0.358,0.181
4.245,0.069,0.197
4.19,0.721,0.172
4.166,0.131,0.175
4.161,0.322,0.259
4.141,0.378,0.163
4.139,0.605,0.134
4.103,0.793,0.187
3.999,0.259,0.158
3.964,0.344,0.185
3.808,0.472,0.116
3.795,0.73,0.079
3.774,0.262,0.155
3.692,0.357,0.132
3.632,0.332,0.191
3.59,1.017,0.042
3.587,0.186,0.21
3.582,0.315,0.392
3.495,0.076,0.206
3.462,0.689,0.376
3.408,0.332,0.2
3.355,0.442,0.083
3.303,0.455,0.27
3.254,0.337,0.224
3.083,0.024,0.218
2.905,0.091,0.149
7.769,1.34,0.153
7.6,1.383,0.252
7.554,1.488,0.271
7.494,1.38,0.354
7.488,1.396,0.322
7.48,1.452,0.263
7.343,1.387,0.267
7.307,1.303,0.33
7.278,1.365,0.285
7.246,1.376,0.244
7.228,1.372,0.332
7.167,1.034,0.144
7.139,1.276,0.261
7.09,1.609,0.194
7.054,1.333,0.348
7.021,1.499,0.298
6.985,1.373,0.261
6.923,1.356,0.16
6.892,1.433,0.28
6.852,1.269,0.046
6.825,1.503,0.262
6.726,1.3,0.375
6.595,1.07,0.074
6.592,1.324,0.111
6.446,1.368,0.242
6.444,1.159,0.187
6.436,0.8,0.175
6.375,1.403,0.08
6.374,1.684,0.22
6.354,1.286,0.153
6.321,1.149,0.109
6.3,1.004,0.099
6.293,1.124,0.127
6.262,1.572,0.271
6.253,0.794,0.093
6.223,1.294,0.158
6.199,1.362,0.255
6.198,1.246,0.121
6.192,1.231,0.185
6.182,1.206,0.117
6.174,0.745,0.322
6.149,1.238,0.043
6.125,0.985,0.099
6.118,1.258,0.144
6.105,0.694,0.2
6.1,0.882,0.262
6.086,1.092,0.066
6.07,1.162,0.083
6.046,1.263,0.19
6.028,0.912,0.126
6.021,1.5,0.142
6.008,1.05,0.359
5.94,1.187,0.075
5.895,1.301,0.175
5.893,1.237,0.103
5.89,0.831,0.107
5.888,1.12,0.215
5.886,1.327,0.069
5.86,0.642,0.246
5.809,1.173,0.146
5.779,0.776,0.137
5.758,1.201,0.081
5.743,0.855,0.184
5.718,1.263,0.191
5.697,0.96,0.083
5.693,1.221,0.047
5.653,0.677,0.22
5.648,1.183,0.082
5.631,0.807,0.117
5.603,1.004,0.137
5.529,0.685,0.181
5.525,1.044,0.133
5.523,1.051,0.142
5.467,0.493,0.23
5.432,1.155,0.119
5.43,1.438,0.258
5.425,1.015,0.113
5.386,0.945,0.263
5.373,1.183,0.083
5.339,1.221,0.26
5.323,1.067,0.094
5.287,1.181,0
5.285,0.948,0.235
5.274,0.983,0.185
5.265,0.696,0.215
5.261,0.551,0.3
5.247,1.052,0.244
5.211,1.002,0.073
5.208,0.801,0.036
5.208,1.043,0.035
5.197,0.987,0.166
5.192,0.931,0.498
5.191,1.029,0.058
5.175,0.741,0.147
5.082,0.813,0.37
5.044,0.549,0.187
5.011,1.092,0.081
4.996,0.611,0.245
4.944,0.569,0.154
4.913,0.446,0.285
4.906,0.837,0.11
4.883,0.393,0.175
4.812,0.673,0.105
4.799,1.057,0.043
4.796,0.764,0.266
4.722,0.96,0.13
4.719,0.947,0.178
4.707,0.96,0.064
4.7,0.574,0.232
4.696,0.657,0.103
4.681,0.45,0.153
4.668,0,0.243
4.639,0.879,0.07
4.628,0.138,0.188
4.587,0.331,0.177
4.559,0.85,0.095
4.548,1.1,0.27
4.534,0.38,0.207
4.519,0.886,0.043
4.516,0.308,0.269
4.509,0.512,0.372
4.49,0.57,0.106
4.466,0.204,0.197
4.461,0.921,0.059
4.456,0.562,0.166
4.437,1.043,0.148
4.418,0.094,0.212
4.39,0.385,0.153
4.374,0.268,0.252
4.366,0.949,0.244
4.36,0.71,0.566
4.35,0.35,0.198
4.332,0.82,0.187
4.286,0.336,0.209
4.212,0.811,0.074
4.189,0.332,0.252
4.166,0.913,0.076
4.107,0.578,0.247
