Ladder score,Healthy life expectancy,Freedom to make life choices
4.980800152,0.518391907,0.690596163
5.77820015,0.828403294,0.726495862
3.926399946,0.203953966,0.715315044
6.377099991,1.137814283,0.926645339
6.280600071,0.853465259,0.749952674
6.363399982,0.932548046,0.936142623
4.814099789,0.407034069,0.759330094
5.872399807,1.022542596,0.612965107
6.400899887,1.051343083,0.751989543
4.327000141,0.792036712,0.837633669
4.308100224,0.215585828,0.646822274
7.353499889,0.986470461,0.939144194
7.559899807,1.040533185,0.921336651
6.45539999,0.878437996,0.77153033
5.555699825,0.680594802,0.831383407
3.476200104,0.442677855,0.82153976
5.998799801,0.793855846,0.905063033
4.187200069,0.342731178,0.649828613
6.191899776,0.658828557,0.857907116
4.392199993,0.781156719,0.593361557
5.131800175,0.781335294,0.608830452
5.119100094,0.612448037,0.826457024
4.43200016,0.378311664,0.731713951
4.56069994,0.698674381,0.663081884
6.790800095,0.787814438,0.941345513
7.164500237,0.97570008,0.834743679
6.939599991,0.831618011,0.842619538
6.440100193,0.856928885,0.892395437
6.257599831,0.716703713,0.974998116
5.053199768,0.76702553,0.62327832
5.353499889,0.819133997,0.939592957
3.527400017,0.41500017,0.599920273
3.759399891,0.36359334,0.806500256
3.299200058,0.375037611,0.711457908
7.769,0.986,0.596
7.6,0.996,0.592
7.554,1.028,0.603
7.494,1.026,0.591
7.488,0.999,0.557
7.48,1.052,0.572
7.343,1.009,0.574
7.307,1.026,0.585
7.278,1.039,0.584
7.246,1.016,0.532
7.228,1.036,0.557
7.167,0.963,0.558
7.139,1.029,0.371
7.09,1.012,0.526
7.054,0.996,0.45
7.021,0.999,0.516
6.985,0.987,0.495
6.923,0.986,0.473
6.892,0.874,0.454
6.852,0.92,0.457
6.825,0.825,0.598
6.726,0.999,0.564
6.595,0.861,0.433
6.592,1.045,0.436
6.446,0.914,0.351
6.444,0.92,0.357
6.436,0.746,0.535
6.375,0.795,0.439
6.374,0.871,0.555
6.354,1.062,0.362
6.321,0.91,0.516
6.3,0.802,0.39
6.293,0.891,0.523
6.262,1.141,0.556
6.253,0.789,0.43
6.223,1.039,0.231
6.199,0.871,0.536
6.198,0.881,0.334
6.192,0.713,0.489
6.182,0.884,0.483
6.174,0.756,0.631
6.149,0.818,0.291
6.125,0.841,0.47
6.118,0.953,0.564
6.105,0.835,0.435
6.1,0.758,0.489
6.086,0.881,0.471
6.07,0.825,0.462
6.046,1.042,0.406
6.028,0.868,0.498
6.021,0.808,0.493
6.008,0.828,0.557
5.94,0.812,0.264
5.895,1.036,0.159
5.893,0.874,0.495
5.89,0.831,0.49
5.888,0.798,0.498
5.886,1.088,0.445
5.86,0.828,0.507
5.809,0.729,0.41
5.779,0.706,0.511
5.758,0.828,0.199
5.743,0.777,0.514
5.718,1.042,0.417
5.697,0.854,0.455
5.693,0.999,0.508
5.653,0.535,0.313
5.648,0.726,0.334
5.631,0.657,0.558
5.603,0.854,0.282
5.529,0.739,0.245
5.525,0.673,0.416
5.523,0.871,0.197
5.467,0.718,0.389
5.432,0.914,0.296
5.43,1.122,0.44
5.425,0.779,0.497
5.386,0.845,0.212
5.373,0.808,0.195
5.339,0.828,0.508
5.323,0.789,0.235
5.287,0.999,0.067
5.285,0.667,0.317
5.274,0.838,0.345
5.265,0.245,0.426
5.261,0.723,0.508
5.247,0.657,0.394
5.211,0.785,0.086
5.208,0.782,0.418
5.208,0.769,0.351
5.197,0.815,0.216
5.192,0.66,0.491
5.191,0.893,0.521
5.175,0.851,0.543
5.082,0.604,0.457
5.044,0.331,0.381
5.011,0.815,0.311
4.996,0.486,0.381
4.944,0.232,0.352
4.913,0.677,0.439
4.906,0.815,0.383
4.883,0.397,0.349
4.812,0.508,0.372
4.799,0.571,0.295
4.796,0.551,0.547
4.722,0.469,0.389
4.719,0.874,0.383
4.707,0.805,0.154
4.7,0.637,0.609
4.696,0.672,0.225
4.681,0.571,0.292
4.668,0.268,0.559
4.639,0.477,0.401
4.628,0.366,0.318
4.587,0.38,0.255
4.559,0.815,0.283
4.548,0.785,0.305
4.534,0.375,0.332
4.519,0.752,0.346
4.516,0.428,0.382
4.509,0.581,0.431
4.49,0.489,0.066
4.466,0.39,0.494
4.461,0.815,0.167
4.456,0.723,0.527
4.437,0.574,0.241
4.418,0.357,0.269
4.39,0.308,0.327
4.374,0.242,0.309
4.366,0.831,0.47
4.36,0.555,0.525
4.35,0.192,0.174
4.332,0.739,0.178
4.286,0.532,0.344
4.212,0,0.313
4.189,0.443,0.356
4.166,0.644,0.241
4.107,0.426,0.431
4.085,0.41,0.293
4.015,0.588,0.498
3.975,0.443,0.37
3.973,0.505,0.142
3.933,0.555,0.148
3.802,0.168,0.359
3.775,0.38,0.22
3.663,0.433,0.361
3.597,0.449,0.026
3.488,0.538,0.455
3.462,0.44,0.013
3.41,0.495,0.443
3.38,0.463,0.143
3.334,0.614,0.555
3.231,0.499,0.417
3.203,0.361,0
3.083,0.105,0.225
2.853,0.295,0.01
7.632,0.874,0.681
7.594,0.861,0.686
7.555,0.868,0.683
7.495,0.914,0.677
